Pa�ses,Poblacionact,Empleadores,Empleovul3,idh
Afganistán,10382034,2.82999992370605,Muy alto,0.511
Albania,1421853,3.0699999332428,Medio,0.795
Alemania,44351163,4.26000022888184,Casi inexistente,0.947
Angola,13116712,4.80999994277954,Muy alto,0.581
Arabia Saudita,15145863,1.73000001907349,Casi inexistente,0.854
Argelia,12500369,4.65000009536743,Bajo,0.748
Argentina,20429749,3.78999996185303,Bajo,0.845
Armenia,1267732,0.899999976158142,Medio-bajo,0.776
Australia,13504175,5.96999979019165,Muy bajo,0.944
Austria,4666182,4.78999996185303,Casi inexistente,0.922
Azerbaiyán,5103475,13.6899995803833,Medio-alto,0.756
Bahamas,220584,5.88000011444092,Casi inexistente,0.814
Barbados,148325,0.800000011920929,Muy bajo,0.814
Bélgica,5182914,3.64000010490417,Muy bajo,0.931
Belice,175539,3.15000009536743,Bajo,0.716
Bolivia,5645342,4.94999980926514,Alto,0.718
Bosnia y Herzegovina,1177070,5.82000017166138,Muy bajo,0.78
Brasil,104376954,4.75,Bajo,0.765
Bulgaria,3367271,3.54999995231628,Casi inexistente,0.816
Burkina Faso,7354219,0.680000007152557,Extremo,0.452
Burundi,4969385,1.23000001907349,Extremo,0.433
Cabo Verde,225349,4.32999992370605,Bajo,0.665
Camboya,9221528,0.109999999403954,Medio,0.594
Camerún,11333454,3.08999991416931,Alto,0.563
Canadá,20792599,4.3899998664856,Muy bajo,0.929
Chad,5074502,0.360000014305115,Extremo,0.398
Chile,9090403,4.17999982833862,Bajo,0.851
China,800020955,2.10999989509583,Medio,0.761
Chipre,628547,1.94000005722046,Muy bajo,0.887
Colombia,26284990,3.65000009536743,Medio,0.767
Comoras,228115,0.850000023841858,Medio-alto,0.554
Costa Rica,2482184,3.35999989509583,Bajo,0.81
Croacia,1774837,4.92000007629395,Casi inexistente,0.851
Cuba,5345330,5.6100001335144,Bajo,0.783
Dinamarca,3031682,3.40000009536743,Casi inexistente,0.94
Ecuador,8312171,2.82999992370605,Medio,0.759
El Salvador,2786916,4.53000020980835,Medio-bajo,0.673
Emiratos Árabes Unidos,6598173,3.53999996185303,Casi inexistente,0.89
Eritrea,1632029,1.21000003814697,Extremo,0.459
Eslovenia,1029535,3.58999991416931,Casi inexistente,0.917
España,23320938,4.82999992370605,Muy bajo,0.904
Estados Unidos,166355636,2.20000004768372,Casi inexistente,0.926
Estonia,705504,4.55000019073486,Casi inexistente,0.892
Etiopía,53950175,0.46000000834465,Muy alto,0.485
Filipinas,44679340,2.95000004768372,Medio-bajo,0.718
Finlandia,2755452,3.77999997138977,Casi inexistente,0.938
Francia,30551690,4.25,Casi inexistente,0.901
Gabón,664205,2.84999990463257,Bajo,0.703
Gambia,770377,1.42999994754791,Alto,0.496
Georgia,1872142,2,Medio,0.812
Ghana,13159208,5.34999990463257,Alto,0.611
Grecia,4796764,7.40000009536743,Bajo,0.888
Guatemala,6707594,2.83999991416931,Medio-bajo,0.663
Guinea,4588010,1.12999999523163,Extremo,0.477
Guinea Ecuatorial,476710,8.80000019073486,Muy alto,0.592
Guyana,306151,5.80000019073486,Bajo,0.682
Honduras,4238924,10.1700000762939,Medio-bajo,0.634
Hungría,4774046,4.48999977111816,Casi inexistente,0.854
India,482700285,2.04999995231628,Muy alto,0.645
Indonesia,136202238,3.5,Medio,0.718
Irlanda,2425468,4.19999980926514,Casi inexistente,0.955
Islandia,215408,3.48000001907349,Casi inexistente,0.949
Islas Salomón,344571,0.899999976158142,Medio-alto,0.567
Israel,4146067,3.94000005722046,Casi inexistente,0.919
Italia,25875327,5.96999979019165,Muy bajo,0.892
Jamaica,1457091,3.59999990463257,Medio-bajo,0.734
Japón,68751774,1.83000004291534,Casi inexistente,0.919
Jordania,2633530,3.34999990463257,Casi inexistente,0.729
Kirguistán,2555254,1.5900000333786,Bajo,0.697
Kuwait,2453595,0.629999995231628,Casi inexistente,0.806
Letonia,980734,4.09000015258789,Casi inexistente,0.866
Líbano,2252317,6.90000009536743,Bajo,0.744
Liberia,2244310,1.4099999666214,Muy alto,0.48
Libia,2318129,3,Medio-bajo,0.724
Lituania,1472298,2.5699999332428,Casi inexistente,0.882
Luxemburgo,316967,3.26999998092651,Casi inexistente,0.916
Macedonia del Norte,963097,3.90000009536743,Muy bajo,0.774
Madagascar,13864048,4.44000005722046,Muy alto,0.528
Malasia,15885303,3.60999989509583,Bajo,0.81
Maldivas,243636,4.17000007629395,Muy bajo,0.74
Malí,7153721,0.600000023841858,Muy alto,0.434
Malta,265579,4.80000019073486,Muy bajo,0.895
Marruecos,12102908,2.46000003814697,Medio,0.686
Mauricio,609711,3.39000010490417,Muy bajo,0.804
Mauritania,1228417,4.1100001335144,Medio,0.546
México,56596004,4.78999996185303,Bajo,0.779
Mongolia,1350058,1.4099999666214,Medio,0.737
Montenegro,292291,7.25,Muy bajo,0.829
Mozambique,13327075,2.54999995231628,Muy alto,0.456
Namibia,926695,6.63000011444092,Medio-bajo,0.646
Nepal,16795812,1.02999997138977,Muy alto,0.602
Nicaragua,2981808,5.75,Medio-bajo,0.66
Níger,8592795,0.730000019073486,Extremo,0.394
Nigeria,62151626,0.300000011920929,Muy alto,0.539
Noruega,2834618,1.69000005722046,Casi inexistente,0.957
Omán,2748207,1.13999998569489,Casi inexistente,0.813
Países Bajos,9451338,3.84999990463257,Muy bajo,0.944
Pakistán,71659613,1.4099999666214,Medio-alto,0.557
Panamá,2037201,2.90000009536743,Medio-bajo,0.815
Paraguay,3611581,6.03999996185303,Medio-bajo,0.728
Perú,18798564,3.90000009536743,Medio,0.777
Polonia,18096553,4.03000020980835,Muy bajo,0.88
Portugal,5287840,4.82999992370605,Muy bajo,0.864
Reino Unido,34776798,2.21000003814697,Muy bajo,0.932
República Centroafricana,1907420,0.860000014305115,Extremo,0.397
República Dominicana,5060916,3.20000004768372,Medio-bajo,0.756
Samoa,53065,2.66000008583069,Bajo,0.715
San Vicente y las Granadinas,55720,5.07000017166138,Bajo,0.738
Santa Lucía,103907,4.80999994277954,Bajo,0.759
Santo Tomé y Príncipe,67694,0.479999989271164,Medio-alto,0.625
Senegal,4221102,0.860000014305115,Medio-alto,0.512
Serbia,3204530,3.35999989509583,Bajo,0.806
Sierra Leona,2620130,2.78999996185303,Extremo,0.452
Singapur,3539016,4.26000022888184,Casi inexistente,0.938
Sri Lanka,8481217,2.76999998092651,Medio-bajo,0.782
Sudáfrica,22989511,5.67000007629395,Muy bajo,0.709
Sudán,12569287,3.07999992370605,Medio,0.51
Sudán del Sur,4760595,1.33000004291534,Extremo,0.433
Suecia,5455406,3.61999988555908,Casi inexistente,0.945
Suiza,4976748,5.57000017166138,Casi inexistente,0.955
Tailandia,38777939,2.53999996185303,Medio,0.777
Tayikistán,2396457,0.00999999977648258,Bajo,0.668
Togo,2760567,1.60000002384186,Muy alto,0.515
Tonga,31687,0.670000016689301,Medio,0.725
Trinidad y Tobago,657766,5.3600001335144,Muy bajo,0.796
Túnez,4155002,6.23000001907349,Muy bajo,0.74
Turkmenistán,1914022,3.1800000667572,Bajo,0.715
Turquía,33420003,4.46999979019165,Bajo,0.82
Ucrania,21013649,0.769999980926514,Muy bajo,0.779
Uganda,16480192,4.21000003814697,Alto,0.544
Uruguay,1744635,3.82999992370605,Bajo,0.817
Uzbekistán,14178358,0.00999999977648258,Medio-bajo,0.72
Vanuatu,127385,0.389999985694885,Alto,0.609
Venezuela,10920757,1.39999997615814,Medio,0.711
Zambia,7348517,0.230000004172325,Alto,0.584
